104	
Delay	Jitter	Throughput
182.51753575197606	87.96324786324786	197142.33333333334
849.6825406691543	362.4807255389718	214311
88.31825	44.504004884004885	150844.66666666666
597.1915686274509	179.35929762949957	441311.3333333333
273.409698746938	146.80569324827218	116653
659.1293656716418	194.42314574314574	244152
622.8676945043055	182.4132858319127	287777
188.0406433653545	93.68589787349967	213406.66666666666
182.39000684814243	91.26731653404067	231580.33333333334
116.10676701440636	61.95829994658119	220595
217.7173550420168	97.4535009733939	136745.33333333334
196.27482813206694	81.13763791763792	241893
152.00279857397504	89.30730195177956	145259.33333333334
202.6177475547153	86.38446195245021	201397.33333333334
676.5637709576584	190.19803921568626	234417
762.4692303050252	259.75305572114587	42809
284.40777356853164	138.982014182967	136883.33333333334
117.61216129032258	62.180805157103826	202877.33333333334
201.16996268656717	95.50678210678211	219408
697.051649858814	163.44948653198654	189603.66666666666
550.7007123161765	198.69390310352998	378742
633.9953396911436	176.61873342733747	279933.3333333333
260.4882079973118	146.65778976800192	89622.66666666667
158.80333050847457	99.89460322761482	80058.33333333333
188.52965228556755	97.58546056437231	171651.33333333334
213.83166227685103	89.17368536107342	214323.66666666666
172.45931242480407	80.0459009067218	141633.66666666666
274.6649943769681	162.04762605042018	129815
674.24421875	166.28867811017065	210338
151.18587669491527	90.42271522402064	88614.66666666667
631.680397627427	158.0917092711844	287101
495.3238331071913	180.21605283605282	361438.3333333333
109.45033472497651	55.46588704351205	182792.66666666666
221.61230163627224	91.10231819269039	206813.66666666666
144.21010955402784	70.60308173566732	185267
744.3977214361095	185.98158658988072	184285
197.92518796992482	104.49182467532468	88677.33333333333
262.2690784313725	145.02906101694916	84818
179.53353223915965	95.9312480338778	160034.33333333334
160.40402701997616	82.56060267857143	136415
417.5216507936508	125.3263768115942	316764.3333333333
213.72085550508328	96.89681818181819	148039
197.06737781464653	113.7902000502481	101608.33333333333
648.5429826497764	193.46000019664524	274141
114.29004184717684	53.609203000150764	176532
699.5286330253494	196.3466055718475	481991.3333333333
212.87125597566276	98.56678879310346	197992
821.4613277254147	190.7556004901961	173360.66666666666
815.7664700970671	289.9368247620435	333223.6666666667
281.70600435532003	153.43038984674328	88395
648.1895015453038	193.11394916194917	299635.6666666667
625.5836704420899	168.85494620885345	266969.3333333333
281.94613553568473	126.41400366185395	130068.66666666667
430.5425	71.94837837837838	2755494.6666666665
149.99978853046596	106.06144575092408	83869.66666666667
121.80011170935771	50.19462436868687	183157.66666666666
213.89889436878912	91.797705242674	122236
544.2853154305201	149.9911051360843	357673.3333333333
210.36321128731342	106.30550024050024	224567.33333333334
283.3479896148417	153.3077120945018	122260.33333333333
210.55348484848486	102.5231040723982	217696
207.39356969193	92.81640495181124	217348
1219.4963157008087	462.6257534965035	2713281
184.5475646046462	84.09697749348496	135379.33333333334
151.28036695681857	71.6390331394324	498392
1166.2273606400101	398.988760241674	258295.66666666666
111.00848128342246	53.89141244498661	220096
133.3182697563874	67.28399358104582	141966
212.9809919389621	93.95530776515152	200149.66666666666
79.14340422322775	34.136229788557216	134713.66666666666
149.00208974358975	75.17143995098039	155512.66666666666
683.2582087000893	190.1218851010101	228491
1007.8502867269183	401.31594109866165	164654.66666666666
545.5698241289978	161.6822885578474	292469
224.55414419096385	114.20674305555556	187453.33333333334
112.90296875	48.103068783068785	192240.66666666666
140.37342693236715	58.80716542172424	132754.66666666666
114.59773756476417	48.930108824821104	184009.66666666666
1056.7559395801331	432.38195771762304	293270.6666666667
117.89641460201652	56.87288889653117	146731.66666666666
742.3973570127504	250.78538418079097	485843.6666666667
674.368839009288	159.7452991797768	267834.3333333333
213.1666966540404	98.82438665038666	218624.33333333334
1179.4837706117783	379.3010427931857	247128.66666666666
611.4220610859728	176.19104088930348	289331
125.7846076907131	61.09034127759934	193440
202.76358585858586	99.58564102564102	201112.66666666666
180.5533566306724	84.20816864616864	233816.66666666666
286.32706251848344	157.2438559896893	77894.66666666667
179.37021070075758	87.60642246642246	132724.66666666666
135.90454894464105	58.44632975412387	150100
299.7927579096045	143.5354833343996	98502.66666666667
118.15225863408622	58.77192181174089	166978
184.48998076923075	81.33645502645503	209708.33333333334
180.98113261648746	86.22488191164213	88608.66666666667
998.0779776785714	210.8008263305322	1689735.6666666667
608.3450773358586	164.40210500610502	281079.3333333333
1069.5633315295815	454.44049657670934	167036
495.0807246376812	130.05051470588234	396436
342.51481495373844	206.37353239656517	46966.666666666664
178.1952368702204	77.95260416666666	180847.33333333334
285.2796297343132	136.78487134502925	48083
486.4594696969697	143.5663076923077	1805372.6666666667
605.7117335115865	152.9260172215844	529254
